"Time","Max_Temperature","FanMode_User_1","FanMode_User_2","FanMode_User_3","FanMode_User_4","FanMode_User_5","FanMode_User_6","FanMode_User_7","FanMode_User_8","FanMode_User_9","FanMode_User_10","FanMode_User_11","FanMode_User_12","FanMode_User_13","FanMode_User_14","FanMode_User_15","FanMode_User_16"
"8","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","22.5",NA,"2,3,4","0,1,2,3,4,5","2,3,4",NA,NA,NA,"2,3,4,5",NA,NA,NA,"4","2,4,5","2,3",NA,NA
"10","23",NA,"2,3,4","0,1,2,3,4,5",NA,NA,"0,1,2,4,5","1,2,3,4","1,2,3,4,5","0,1,2,3,4,5","2,3,4","2,3,4","2,4","2,3,4,5","2,3","1,2,3,4",NA
"11","22.5","3,4","2,3,4","0,1,2,3,4,5","2,3,4",NA,"0,1,2,3,4,5","2,3,4","2,3,4,5","0,1,2,3,4,5","2,3,4",NA,NA,"2,4,5","2,3","2,3","2,3,4"
"12","22.5","3,4","2,3,4","0,1,2,3,4,5","2,3,4",NA,"0,1,2,3,4,5","2,3,4","2,3,4,5",NA,"2,3,4","2,3,4,5","4",NA,NA,"2,3","2,3,4"
"13","22",NA,"3,4",NA,NA,"2,3,4,5",NA,NA,NA,NA,NA,"2,3,4,5",NA,"4","3,4",NA,"2,3,4"
"14","22","2,3,4","3,4","0,1,2,3,4,5",NA,"2,3,4,5","0,2,3,4,5","2,3,4","2,3,4,5","0,1,2,3,4,5",NA,NA,NA,"4",NA,"2,3",NA
"15","22",NA,"3,4","0,1,2,3,4,5","2,3,4","2,3,4,5","0,2,3,4,5",NA,"2,3,4,5","0,1,2,3,4,5",NA,"2,3,4,5","2,3,4","4",NA,NA,"2,3,4"
"16","22","2,3,4","3,4","0,1,2,3,4,5","2,3,4","2,3,4,5",NA,"2,3,4","2,3,4,5",NA,"4","2,3,4,5","2,3,4",NA,"3,4","2,3","2,3,4"
"17","22",NA,"3,4","0,1,2,3,4,5","2,3,4","2,3,4,5","0,2,3,4,5","2,3,4","2,3,4,5","0,1,2,3,4,5","4","2,3,4,5","2,3,4",NA,NA,"2,3","2,3,4"
"18","23",NA,NA,"0,1,2,3,4,5",NA,NA,NA,"1,2,3,4",NA,NA,"2,3,4",NA,NA,NA,"2,3","1,2,3,4","1,2,3,4,5"
"19","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
